,CarName,fueltype,aspiration,carbody,drivewheel,enginelocation,enginetype,fuelsystem,doornumber,cylindernumber,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
0,alfa-romero giulia,gas,std,convertible,rwd,front,dohc,mpfi,two,four,3,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,111,5000,21,27,13495.0
1,alfa-romero stelvio,gas,std,convertible,rwd,front,dohc,mpfi,two,four,3,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,111,5000,21,27,16500.0
2,alfa-romero Quadrifoglio,gas,std,hatchback,rwd,front,ohcv,mpfi,two,six,1,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9.0,154,5000,19,26,16500.0
3,audi 100 ls,gas,std,sedan,fwd,front,ohc,mpfi,four,four,2,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10.0,102,5500,24,30,13950.0
4,audi 100ls,gas,std,sedan,4wd,front,ohc,mpfi,four,five,2,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8.0,115,5500,18,22,17450.0
5,audi fox,gas,std,sedan,fwd,front,ohc,mpfi,two,five,2,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,15250.0
6,audi 100ls,gas,std,sedan,fwd,front,ohc,mpfi,four,five,1,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,17710.0
7,audi 5000,gas,std,wagon,fwd,front,ohc,mpfi,four,five,1,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,18920.0
8,audi 4000,gas,turbo,sedan,fwd,front,ohc,mpfi,four,five,1,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,23875.0
9,audi 5000s (diesel),gas,turbo,hatchback,4wd,front,ohc,mpfi,two,five,0,99.5,178.2,67.9,52.0,3053,131,3.13,3.4,7.0,160,5500,16,22,17859.167
10,bmw 320i,gas,std,sedan,rwd,front,ohc,mpfi,two,four,2,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16430.0
11,bmw 320i,gas,std,sedan,rwd,front,ohc,mpfi,four,four,0,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16925.0
12,bmw x1,gas,std,sedan,rwd,front,ohc,mpfi,two,six,0,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9.0,121,4250,21,28,20970.0
13,bmw x3,gas,std,sedan,rwd,front,ohc,mpfi,four,six,0,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9.0,121,4250,21,28,21105.0
14,bmw z4,gas,std,sedan,rwd,front,ohc,mpfi,four,six,1,103.5,189.0,66.9,55.7,3055,164,3.31,3.19,9.0,121,4250,20,25,24565.0
15,bmw x4,gas,std,sedan,rwd,front,ohc,mpfi,four,six,0,103.5,189.0,66.9,55.7,3230,209,3.62,3.39,8.0,182,5400,16,22,30760.0
16,bmw x5,gas,std,sedan,rwd,front,ohc,mpfi,two,six,0,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8.0,182,5400,16,22,41315.0
17,bmw x3,gas,std,sedan,rwd,front,ohc,mpfi,four,six,0,110.0,197.0,70.9,56.3,3505,209,3.62,3.39,8.0,182,5400,15,20,36880.0
18,chevrolet impala,gas,std,hatchback,fwd,front,l,2bbl,two,three,2,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,5151.0
19,chevrolet monte carlo,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,6295.0
20,chevrolet vega 2300,gas,std,sedan,fwd,front,ohc,2bbl,four,four,0,94.5,158.8,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,6575.0
21,dodge rampage,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,5572.0
22,dodge challenger se,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,6377.0
23,dodge d200,gas,turbo,hatchback,fwd,front,ohc,mpfi,two,four,1,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957.0
24,dodge monaco (sw),gas,std,hatchback,fwd,front,ohc,2bbl,four,four,1,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229.0
25,dodge colt hardtop,gas,std,sedan,fwd,front,ohc,2bbl,four,four,1,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,6692.0
26,dodge colt (sw),gas,std,sedan,fwd,front,ohc,2bbl,four,four,1,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,7609.0
27,dodge coronet custom,gas,turbo,sedan,fwd,front,ohc,mpfi,two,four,1,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,8558.0
28,dodge dart custom,gas,std,wagon,fwd,front,ohc,2bbl,four,four,-1,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,8921.0
29,dodge coronet custom (sw),gas,turbo,hatchback,fwd,front,ohc,mfi,two,four,3,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7.0,145,5000,19,24,12964.0
30,honda civic,gas,std,hatchback,fwd,front,ohc,1bbl,two,four,2,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,6479.0
31,honda civic cvcc,gas,std,hatchback,fwd,front,ohc,1bbl,two,four,2,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,6855.0
32,honda civic,gas,std,hatchback,fwd,front,ohc,1bbl,two,four,1,93.7,150.0,64.0,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,5399.0
33,honda accord cvcc,gas,std,hatchback,fwd,front,ohc,1bbl,two,four,1,93.7,150.0,64.0,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,6529.0
34,honda civic cvcc,gas,std,hatchback,fwd,front,ohc,1bbl,two,four,1,93.7,150.0,64.0,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,7129.0
35,honda accord lx,gas,std,sedan,fwd,front,ohc,1bbl,four,four,0,96.5,163.4,64.0,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,7295.0
36,honda civic 1500 gl,gas,std,wagon,fwd,front,ohc,1bbl,four,four,0,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,7295.0
37,honda accord,gas,std,hatchback,fwd,front,ohc,1bbl,two,four,0,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9.0,86,5800,27,33,7895.0
38,honda civic 1300,gas,std,hatchback,fwd,front,ohc,1bbl,two,four,0,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9.0,86,5800,27,33,9095.0
39,honda prelude,gas,std,sedan,fwd,front,ohc,1bbl,four,four,0,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9.0,86,5800,27,33,8845.0
40,honda accord,gas,std,sedan,fwd,front,ohc,1bbl,four,four,0,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9.0,86,5800,27,33,10295.0
41,honda civic,gas,std,sedan,fwd,front,ohc,mpfi,four,four,0,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9.0,101,5800,24,28,12945.0
42,honda civic (auto),gas,std,sedan,fwd,front,ohc,2bbl,two,four,1,96.5,169.1,66.0,51.0,2293,110,3.15,3.58,9.1,100,5500,25,31,10345.0
43,isuzu MU-X,gas,std,sedan,rwd,front,ohc,2bbl,four,four,0,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29,6785.0
44,isuzu D-Max ,gas,std,sedan,fwd,front,ohc,2bbl,two,four,1,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,8916.5
45,isuzu D-Max V-Cross,gas,std,sedan,fwd,front,ohc,2bbl,four,four,0,94.5,155.9,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,8916.5
46,isuzu D-Max ,gas,std,hatchback,rwd,front,ohc,spfi,two,four,2,96.0,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,11048.0
47,jaguar xj,gas,std,sedan,rwd,front,dohc,mpfi,four,six,0,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,32250.0
48,jaguar xf,gas,std,sedan,rwd,front,dohc,mpfi,four,six,0,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,35550.0
49,jaguar xk,gas,std,sedan,rwd,front,ohcv,mpfi,two,twelve,0,102.0,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,36000.0
50,maxda rx3,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9.0,68,5000,30,31,5195.0
51,maxda glc deluxe,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9.0,68,5000,31,38,6095.0
52,mazda rx2 coupe,gas,std,hatchback,fwd,front,ohc,2bbl,two,four,1,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9.0,68,5000,31,38,6795.0
53,mazda rx-4,gas,std,sedan,fwd,front,ohc,2bbl,four,four,1,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9.0,68,5000,31,38,6695.0
